                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.0043,                 4.3522,                 1.4717,                0.35113,                0.81818,                0.74424,                0.34741,                 1.3471,                 8.9786,                 1.1385,                0.00012,                0.00012,                0.00012
                      2,                 1.2792,                 1.5067,                 1.0477,                0.67957,                0.90909,                0.87234,                0.47852,                 1.0449,                 3.4725,                0.90398,              0.0002497,              0.0002497,              0.0002497
                      3,                 1.3752,                 1.2248,                 1.0738,                0.80154,                0.81818,                0.90914,                0.59031,                 1.2139,                 3.2012,                 1.0367,             0.00036832,             0.00036832,             0.00036832
                      4,                 1.4113,                 1.0966,                 1.0916,                 0.8367,                0.90909,                0.94892,                0.59463,                 1.4228,                 2.9775,                 1.1811,             0.00047585,             0.00047585,             0.00047585
                      5,                 1.2168,                0.91649,                 1.0588,                0.84899,                0.81818,                0.87063,                0.54573,                 1.3371,                  1.967,                 1.1539,             0.00057229,             0.00057229,             0.00057229
                      6,                  1.326,                 0.8958,                 1.0676,                 0.1369,                0.72727,                0.14992,                0.08789,                  1.368,                 7.1621,                 1.2435,             0.00065764,             0.00065764,             0.00065764
                      7,                 1.2101,                0.81491,                 1.0911,                0.12926,                0.90909,                0.13037,                0.07421,                 1.3655,                 7.5823,                 1.1618,              0.0007319,              0.0007319,              0.0007319
                      8,                 1.2826,                0.87364,                 1.1277,                0.13777,                0.90909,                0.14019,                0.08366,                 1.2442,                 8.2212,                 1.1327,             0.00079508,             0.00079508,             0.00079508
                      9,                 1.3468,                0.88749,                 1.0679,                0.13498,                0.90909,                 0.1376,                 0.0757,                 1.3196,                 7.3207,                  1.156,             0.00084717,             0.00084717,             0.00084717
                     10,                 1.2842,                0.81458,                 1.1168,                0.26784,                      1,                0.28064,                0.15954,                 1.4092,                 3.6788,                 1.1202,             0.00088817,             0.00088817,             0.00088817
                     11,                 1.2515,                0.76622,                 1.0779,                0.68107,                0.97196,                0.71772,                0.43286,                 1.3638,                 1.2494,                  1.179,             0.00091808,             0.00091808,             0.00091808
                     12,                 1.2136,                0.75658,                 1.0825,                      1,                0.90365,                 0.9875,                0.65914,                 1.2156,                0.82379,                 1.1562,              0.0009369,              0.0009369,              0.0009369
                     13,                 1.1373,                 0.7109,                  1.017,                0.89791,                      1,                   0.98,                0.63904,                 1.3229,                0.76437,                 1.1393,             0.00094464,             0.00094464,             0.00094464
                     14,                 1.2983,                0.80711,                 1.1252,                      1,                0.99563,                  0.995,                0.66913,                 1.3826,                0.85198,                 1.1322,             0.00094129,             0.00094129,             0.00094129
                     15,                 1.1072,                 0.6987,                 1.0127,                0.99035,                      1,                  0.995,                0.65052,                 1.1742,                0.81783,                 1.1358,              0.0008912,              0.0008912,              0.0008912
                     16,                 1.1336,                0.68776,                 1.0489,                0.99269,                      1,                  0.995,                0.66225,                 1.1328,                0.78451,                 1.0787,               0.000812,               0.000812,               0.000812
                     17,                 1.0786,                0.66177,                 1.1138,                0.99379,                      1,                  0.995,                0.66471,                 1.1081,                0.79923,                 1.0503,              0.0007328,              0.0007328,              0.0007328
                     18,                 1.0689,                0.61531,                 1.0424,                      1,                0.99825,                  0.995,                0.70094,                 1.0048,                0.63387,                0.99845,              0.0006536,              0.0006536,              0.0006536
                     19,                 1.0305,                0.60033,                 1.0683,                      1,                0.98834,                  0.995,                0.70603,                 1.0116,                0.63691,                 1.0175,              0.0005744,              0.0005744,              0.0005744
                     20,                 1.2256,                0.67907,                 1.0324,                      1,                0.99788,                  0.995,                0.68185,                0.98885,                0.57887,                  1.019,              0.0004952,              0.0004952,              0.0004952
                     21,                  1.076,                0.62948,                 1.0809,                      1,                0.99589,                  0.995,                0.73068,                0.93305,                0.55643,                 1.0103,               0.000416,               0.000416,               0.000416
                     22,                0.99585,                0.54779,                 1.0057,                      1,                0.99586,                  0.995,                0.70966,                0.94883,                0.51422,                 0.9766,              0.0003368,              0.0003368,              0.0003368
                     23,                0.94001,                0.54956,                 1.0252,                      1,                0.99628,                  0.995,                0.73804,                0.92984,                0.48853,                0.96926,              0.0002576,              0.0002576,              0.0002576
                     24,                 1.0064,                0.58518,                 1.0173,                      1,                0.99743,                  0.995,                0.75056,                0.91419,                0.51027,                0.97326,              0.0001784,              0.0001784,              0.0001784
                     25,                0.92055,                0.52354,                 1.0229,                      1,                0.99753,                  0.995,                0.75526,                0.92155,                0.52031,                0.97673,               9.92e-05,               9.92e-05,               9.92e-05
